Comorbid Condition,Concept ID,Concept Code,Concept Name,Vocabulary
Peripheral vascular disease,46271459,709584004,Atherosclerosis of bypass graft of lower limb,SNOMED CT
Peripheral vascular disease,40483538,442439008,Atherosclerosis of bypass graft of limb,SNOMED CT
Peripheral vascular disease,40484541,442693003,Atherosclerosis of autologous vein bypass graft of limb,SNOMED CT
Peripheral vascular disease,37110250,724440007,Atherosclerosis of artery of lower limb,SNOMED CT
Peripheral vascular disease,40479625,441574008,Atherosclerosis of artery,SNOMED CT
Peripheral vascular disease,315558,51274000,Atherosclerosis of arteries of the extremities,SNOMED CT
Peripheral vascular disease,312934,81817003,Atherosclerosis of aorta,SNOMED CT
Peripheral vascular disease,318443,72092001,Arteriosclerotic vascular disease,SNOMED CT
Peripheral vascular disease,317577,49176002,Arteriosclerotic gangrene,SNOMED CT
Peripheral vascular disease,317585,67362008,Aortic aneurysm,SNOMED CT
Peripheral vascular disease,443622,433068007,Aneurysm of thoracic aorta,SNOMED CT
Peripheral vascular disease,4332246,432119003,Aneurysm,SNOMED CT
Peripheral vascular disease,321314,75878002,Abdominal aortic aneurysm without rupture,SNOMED CT
Peripheral vascular disease,198177,233985008,Abdominal aortic aneurysm,SNOMED CT
Congestive heart failure,443580,417996009,Systolic heart failure,SNOMED CT
Congestive heart failure,4273632,367363000,Right ventricular failure,SNOMED CT
Congestive heart failure,4195785,44313006,Right heart failure secondary to left heart failure,SNOMED CT
Congestive heart failure,4190773,415295002,Restrictive cardiomyopathy,SNOMED CT
Congestive heart failure,320122,195023001,Nutritional and metabolic cardiomyopathies,SNOMED CT
Congestive heart failure,4172864,276514007,Neonatal cardiac failure,SNOMED CT
Congestive heart failure,316994,83105008,Malignant hypertensive heart disease with congestive heart failure,SNOMED CT
Congestive heart failure,439846,85232009,Left heart failure,SNOMED CT
Congestive heart failure,444101,46113002,Hypertensive heart failure,SNOMED CT
Congestive heart failure,314378,5148006,Hypertensive heart disease with congestive heart failure,SNOMED CT
Congestive heart failure,439694,194781004,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure,SNOMED CT
Congestive heart failure,439696,194779001,Hypertensive heart and renal disease with (congestive) heart failure,SNOMED CT
Congestive heart failure,44782728,15781000119107,Hypertensive heart AND chronic kidney disease with congestive heart failure,SNOMED CT
Congestive heart failure,4004279,10091002,High output heart failure,SNOMED CT
Congestive heart failure,316139,84114007,Heart failure,SNOMED CT
Congestive heart failure,4110961,194849004,Generalized ischemic myocardial dysfunction,SNOMED CT
Congestive heart failure,318773,83521008,Dilated cardiomyopathy secondary to alcohol,SNOMED CT
Congestive heart failure,4163710,399020009,Dilated cardiomyopathy,SNOMED CT
Congestive heart failure,443587,418304008,Diastolic heart failure,SNOMED CT
Congestive heart failure,315295,82523003,Congestive rheumatic heart failure,SNOMED CT
Congestive heart failure,319835,42343007,Congestive heart failure,SNOMED CT
Congestive heart failure,40482727,442304009,Combined systolic and diastolic dysfunction,SNOMED CT
Congestive heart failure,40479192,441481004,Chronic systolic heart failure,SNOMED CT
Congestive heart failure,4014159,10335000,Chronic right-sided heart failure,SNOMED CT
Congestive heart failure,444031,48447003,Chronic heart failure,SNOMED CT
Congestive heart failure,40479576,441530006,Chronic diastolic heart failure,SNOMED CT
Congestive heart failure,4229440,88805009,Chronic congestive heart failure,SNOMED CT
Congestive heart failure,44782719,153941000119100,Chronic combined systolic and diastolic heart failure,SNOMED CT
Congestive heart failure,320746,195029002,Cardiomyopathy associated with another disorder,SNOMED CT
Congestive heart failure,321319,85898001,Cardiomyopathy,SNOMED CT
Congestive heart failure,4215802,71892000,Cardiac asthma,SNOMED CT
Congestive heart failure,4242669,92506005,Biventricular congestive heart failure,SNOMED CT
Congestive heart failure,439698,194767001,Benign hypertensive heart disease with congestive cardiac failure,SNOMED CT
Congestive heart failure,40480603,443254009,Acute systolic heart failure,SNOMED CT
Congestive heart failure,4233424,359617009,Acute right-sided heart failure,SNOMED CT
Congestive heart failure,40480602,443253003,Acute on chronic systolic heart failure,SNOMED CT
Congestive heart failure,37309625,16838951000119100,Acute on chronic right-sided congestive heart failure,SNOMED CT
Congestive heart failure,40481043,443344007,Acute on chronic diastolic heart failure,SNOMED CT
Congestive heart failure,44782733,153951000119103,Acute on chronic combined systolic and diastolic heart failure,SNOMED CT
Congestive heart failure,40481042,443343001,Acute diastolic heart failure,SNOMED CT
Congestive heart failure,44782718,153931000119109,Acute combined systolic and diastolic heart failure,SNOMED CT
"Malignancy, except skin neoplasms",138708,91855006,Acute leukemia,SNOMED CT
"Malignancy, except skin neoplasms",135496,91854005,Acute leukemia in remission,SNOMED CT
"Malignancy, except skin neoplasms",134305,91857003,Acute lymphoid leukemia,SNOMED CT
"Malignancy, except skin neoplasms",141816,91856007,Acute lymphoid leukemia in remission,SNOMED CT
"Malignancy, except skin neoplasms",36712834,12301000132103,Acute lymphoid leukemia relapse,SNOMED CT
"Malignancy, except skin neoplasms",4079686,277602003,Acute megakaryoblastic leukemia,SNOMED CT
"Malignancy, except skin neoplasms",135768,413441006,Acute monocytic leukemia,SNOMED CT
"Malignancy, except skin neoplasms",140672,91858008,Acute monocytic leukemia in remission,SNOMED CT
"Malignancy, except skin neoplasms",4189938,413442004,Acute monocytic/monoblastic leukemia,SNOMED CT
"Malignancy, except skin neoplasms",135762,91860005,Acute myeloid leukemia in remission,SNOMED CT
"Malignancy, except skin neoplasms",40483761,445448008,Acute myeloid leukemia with myelodysplasia-related changes,SNOMED CT
"Malignancy, except skin neoplasms",40481524,444911000,Acute myeloid leukemia with t(9:11)(p22;q23); MLLT3-MLL,SNOMED CT
"Malignancy, except skin neoplasms",140352,91861009,"Acute myeloid leukemia, disease",SNOMED CT
"Malignancy, except skin neoplasms",4003184,109991003,Acute panmyelosis with myelofibrosis,SNOMED CT
"Malignancy, except skin neoplasms",4002497,110004001,"Acute promyelocytic leukemia, FAB M3",SNOMED CT
"Malignancy, except skin neoplasms",4137687,425869007,"Acute promyelocytic leukemia, FAB M3, in remission",SNOMED CT
"Malignancy, except skin neoplasms",4003188,110007008,Adult T-cell leukemia/lymphoma,SNOMED CT
"Malignancy, except skin neoplasms",4297355,404136008,Aggressive NK-cell leukemia involving skin,SNOMED CT
"Malignancy, except skin neoplasms",37396742,716655008,Aggressive systemic mastocytosis,SNOMED CT
"Malignancy, except skin neoplasms",4003835,109982002,Alpha heavy chain disease (clinical),SNOMED CT
"Malignancy, except skin neoplasms",40488896,448212009,"Anaplastic large cell lymphoma, ALK negative",SNOMED CT
"Malignancy, except skin neoplasms",4299149,404134006,Anaplastic large T-cell systemic malignant lymphoma,SNOMED CT
"Malignancy, except skin neoplasms",4003021,109844006,Angiosarcoma of liver,SNOMED CT
"Malignancy, except skin neoplasms",4079282,277589003,Atypical chronic myeloid leukemia,SNOMED CT
"Malignancy, except skin neoplasms",4173963,277571004,B-cell acute lymphoblastic leukemia,SNOMED CT
"Malignancy, except skin neoplasms",4082311,277473004,B-cell chronic lymphocytic leukemia,SNOMED CT
"Malignancy, except skin neoplasms",434592,109979007,B-cell lymphoma (clinical),SNOMED CT
"Malignancy, except skin neoplasms",4173974,277619001,B-cell prolymphocytic leukemia,SNOMED CT
"Malignancy, except skin neoplasms",4041800,118617000,Burkitt's lymphoma (clinical),SNOMED CT
"Malignancy, except skin neoplasms",4097560,188512009,Burkitt's lymphoma of intra-abdominal lymph nodes,SNOMED CT
"Malignancy, except skin neoplasms",193428,188515006,Burkitt's lymphoma of intrapelvic lymph nodes,SNOMED CT
"Malignancy, except skin neoplasms",4091768,188511002,Burkitt's lymphoma of intrathoracic lymph nodes,SNOMED CT
"Malignancy, except skin neoplasms",4097561,188513004,Burkitt's lymphoma of lymph nodes of axilla and upper limb,SNOMED CT
"Malignancy, except skin neoplasms",196055,188514005,Burkitt's lymphoma of lymph nodes of inguinal region and lower limb,SNOMED CT
"Malignancy, except skin neoplasms",315481,188517003,Burkitt's lymphoma of lymph nodes of multiple sites,SNOMED CT
"Malignancy, except skin neoplasms",439293,188516007,Burkitt's lymphoma of spleen,SNOMED CT
"Malignancy, except skin neoplasms",435758,92516002,Burkitt's tumor of extranodal AND/OR solid organ site,SNOMED CT
"Malignancy, except skin neoplasms",433426,92511007,Burkitt's tumor of lymph nodes of axilla AND/OR upper limb,SNOMED CT
"Malignancy, except skin neoplasms",437504,92512000,"Burkitt's tumor of lymph nodes of head, face AND/OR neck",SNOMED CT
"Malignancy, except skin neoplasms",140057,92812005,Chronic leukemia,SNOMED CT
"Malignancy, except skin neoplasms",134597,92811003,Chronic leukemia in remission,SNOMED CT
"Malignancy, except skin neoplasms",133438,92813000,Chronic lymphoid leukemia in remission,SNOMED CT
"Malignancy, except skin neoplasms",138379,92814006,"Chronic lymphoid leukemia, disease",SNOMED CT
"Malignancy, except skin neoplasms",136056,188745007,Chronic monocytic leukemia,SNOMED CT
"Malignancy, except skin neoplasms",760932,122881000119107,Chronic monocytic leukemia in relapse,SNOMED CT
"Malignancy, except skin neoplasms",134603,92818009,Chronic myeloid leukemia,SNOMED CT
"Malignancy, except skin neoplasms",132572,92817004,Chronic myeloid leukemia in remission,SNOMED CT
"Malignancy, except skin neoplasms",4133599,127225006,Chronic myelomonocytic leukemia,SNOMED CT
"Malignancy, except skin neoplasms",4082487,277613000,Cutaneous/peripheral T-cell lymphoma,SNOMED CT
"Malignancy, except skin neoplasms",40486171,449220000,Diffuse follicle center lymphoma,SNOMED CT
"Malignancy, except skin neoplasms",44808122,847741000000106,Diffuse large B-cell lymphoma,SNOMED CT
"Malignancy, except skin neoplasms",4300704,404148006,Diffuse large B-cell lymphoma (nodal/systemic with skin involvement),SNOMED CT
"Malignancy, except skin neoplasms",4003830,109962001,Diffuse non-Hodgkin's lymphoma,SNOMED CT
"Malignancy, except skin neoplasms",4003832,109966003,"Diffuse non-Hodgkin's lymphoma, immunoblastic (clinical)",SNOMED CT
"Malignancy, except skin neoplasms",4001328,109965004,"Diffuse non-Hodgkin's lymphoma, lymphoblastic (clinical)",SNOMED CT
"Malignancy, except skin neoplasms",4002356,109968002,"Diffuse non-Hodgkin's lymphoma, small cell (clinical)",SNOMED CT
"Malignancy, except skin neoplasms",4003831,109964000,"Diffuse non-Hodgkin's lymphoma, undifferentiated",SNOMED CT
"Malignancy, except skin neoplasms",138099,93451002,"Erythroleukemia, FAB M6",SNOMED CT
"Malignancy, except skin neoplasms",4139358,426642002,"Erythroleukemia, FAB M6 in remission",SNOMED CT
"Malignancy, except skin neoplasms",4094548,188718006,Extramedullary plasmacytoma,SNOMED CT
"Malignancy, except skin neoplasms",40482893,445269007,Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue (MALT-lymphoma),SNOMED CT
"Malignancy, except skin neoplasms",4212994,414166008,"Extranodal NK/T-cell lymphoma, nasal type",SNOMED CT
"Malignancy, except skin neoplasms",37395837,715414009,Familial malignant neoplasm of pancreas,SNOMED CT
"Malignancy, except skin neoplasms",4147411,308121000,Follicular non-Hodgkin's lymphoma,SNOMED CT
"Malignancy, except skin neoplasms",45765770,702786004,Follicular non-Hodgkin's lymphoma diffuse follicle center sub-type grade 1,SNOMED CT
"Malignancy, except skin neoplasms",4003833,109972003,"Follicular non-Hodgkin's lymphoma, large cell (clinical)",SNOMED CT
"Malignancy, except skin neoplasms",4001329,109971005,"Follicular non-Hodgkin's lymphoma, mixed small cleaved cell and large cell (clinical)",SNOMED CT
"Malignancy, except skin neoplasms",4002357,109970006,"Follicular non-Hodgkin's lymphoma, small cleaved cell (clinical)",SNOMED CT
"Malignancy, except skin neoplasms",4170421,420120006,Gastrointestinal stromal tumor,SNOMED CT
"Malignancy, except skin neoplasms",40486465,446124001,Gastrointestinal stromal tumor of esophagus,SNOMED CT
"Malignancy, except skin neoplasms",40490328,446925001,Gastrointestinal stromal tumor of large intestine,SNOMED CT
"Malignancy, except skin neoplasms",40492267,445737002,Gastrointestinal stromal tumor of small intestine,SNOMED CT
"Malignancy, except skin neoplasms",40492266,445736006,Gastrointestinal stromal tumor of stomach,SNOMED CT
"Malignancy, except skin neoplasms",4038845,118613001,Hairy cell leukemia (clinical),SNOMED CT
"Malignancy, except skin neoplasms",4245460,93151007,Hairy cell leukemia of spleen,SNOMED CT
"Malignancy, except skin neoplasms",4217892,39795003,Hand-Schüller-Christian disease,SNOMED CT
"Malignancy, except skin neoplasms",4288751,68979007,Heavy chain disease,SNOMED CT
"Malignancy, except skin neoplasms",4001172,109843000,Hepatoblastoma,SNOMED CT
"Malignancy, except skin neoplasms",37396884,716859000,Hereditary diffuse carcinoma of stomach,SNOMED CT
"Malignancy, except skin neoplasms",4002494,109988003,Histiocytic sarcoma (clinical),SNOMED CT
"Malignancy, except skin neoplasms",4038839,118605002,"Hodgkin lymphoma, nodular lymphocyte predominance (clinical)",SNOMED CT
"Malignancy, except skin neoplasms",4038835,118599009,Hodgkin's disease (clinical),SNOMED CT
"Malignancy, except skin neoplasms",436651,93528000,Hodgkin's disease of extranodal AND/OR solid organ site,SNOMED CT
"Malignancy, except skin neoplasms",200355,93520007,Hodgkin's disease of intra-abdominal lymph nodes,SNOMED CT
"Malignancy, except skin neoplasms",195761,93521006,Hodgkin's disease of intrapelvic lymph nodes,SNOMED CT
"Malignancy, except skin neoplasms",440965,93522004,Hodgkin's disease of intrathoracic lymph nodes,SNOMED CT
"Malignancy, except skin neoplasms",434877,93523009,Hodgkin's disease of lymph nodes of axilla AND/OR upper limb,SNOMED CT
"Malignancy, except skin neoplasms",437818,93524003,"Hodgkin's disease of lymph nodes of head, face AND/OR neck",SNOMED CT
"Malignancy, except skin neoplasms",436652,93525002,Hodgkin's disease of lymph nodes of inguinal region AND/OR lower limb,SNOMED CT
"Malignancy, except skin neoplasms",316356,93526001,Hodgkin's disease of lymph nodes of multiple sites,SNOMED CT
"Malignancy, except skin neoplasms",198704,93527005,Hodgkin's disease of spleen,SNOMED CT
"Malignancy, except skin neoplasms",4041798,118610003,"Hodgkin's disease, lymphocytic depletion (clinical)",SNOMED CT
"Malignancy, except skin neoplasms",432267,93492006,"Hodgkin's disease, lymphocytic depletion of extranodal AND/OR solid organ site",SNOMED CT
"Malignancy, except skin neoplasms",439285,188587006,"Hodgkin's disease, lymphocytic depletion of intra-abdominal lymph nodes",SNOMED CT
"Malignancy, except skin neoplasms",439282,188591001,"Hodgkin's disease, lymphocytic depletion of intrapelvic lymph nodes",SNOMED CT
"Malignancy, except skin neoplasms",141243,188586002,"Hodgkin's disease, lymphocytic depletion of intrathoracic lymph nodes",SNOMED CT
"Malignancy, except skin neoplasms",442151,93487009,"Hodgkin's disease, lymphocytic depletion of lymph nodes of axilla AND/OR upper limb",SNOMED CT
"Malignancy, except skin neoplasms",433161,93488004,"Hodgkin's disease, lymphocytic depletion of lymph nodes of head, face AND/OR neck",SNOMED CT
"Malignancy, except skin neoplasms",442150,93489007,"Hodgkin's disease, lymphocytic depletion of lymph nodes of inguinal region AND/OR lower limb",SNOMED CT
"Malignancy, except skin neoplasms",313980,188593003,"Hodgkin's disease, lymphocytic depletion of lymph nodes of multiple sites",SNOMED CT
"Malignancy, except skin neoplasms",439281,188592008,"Hodgkin's disease, lymphocytic depletion of spleen",SNOMED CT
"Malignancy, except skin neoplasms",438373,93501005,"Hodgkin's disease, lymphocytic-histiocytic predominance of extranodal AND/OR solid organ site",SNOMED CT
"Malignancy, except skin neoplasms",201242,93493001,"Hodgkin's disease, lymphocytic-histiocytic predominance of intra-abdominal lymph nodes",SNOMED CT
"Malignancy, except skin neoplasms",194876,93494007,"Hodgkin's disease, lymphocytic-histiocytic predominance of intrapelvic lymph nodes",SNOMED CT
"Malignancy, except skin neoplasms",440351,93495008,"Hodgkin's disease, lymphocytic-histiocytic predominance of intrathoracic lymph nodes",SNOMED CT
"Malignancy, except skin neoplasms",438703,93496009,"Hodgkin's disease, lymphocytic-histiocytic predominance of lymph nodes of axilla AND/OR upper limb",SNOMED CT
"Malignancy, except skin neoplasms",442163,93497000,"Hodgkin's disease, lymphocytic-histiocytic predominance of lymph nodes of head, face AND/OR neck",SNOMED CT
"Malignancy, except skin neoplasms",442162,93498005,"Hodgkin's disease, lymphocytic-histiocytic predominance of lymph nodes of inguinal region AND/OR lower limb",SNOMED CT
"Malignancy, except skin neoplasms",321522,188562004,"Hodgkin's disease, lymphocytic-histiocytic predominance of lymph nodes of multiple sites",SNOMED CT
"Malignancy, except skin neoplasms",198381,93500006,"Hodgkin's disease, lymphocytic-histiocytic predominance of spleen",SNOMED CT
"Malignancy, except skin neoplasms",4038843,118609008,"Hodgkin's disease, mixed cellularity (clinical)",SNOMED CT
"Malignancy, except skin neoplasms",435203,93510002,"Hodgkin's disease, mixed cellularity of extranodal AND/OR solid organ site",SNOMED CT
"Malignancy, except skin neoplasms",192268,188577007,"Hodgkin's disease, mixed cellularity of intra-abdominal lymph nodes",SNOMED CT
"Malignancy, except skin neoplasms",194594,188580008,"Hodgkin's disease, mixed cellularity of intrapelvic lymph nodes",SNOMED CT
"Malignancy, except skin neoplasms",136655,188576003,"Hodgkin's disease, mixed cellularity of intrathoracic lymph nodes",SNOMED CT
"Malignancy, except skin neoplasms",434299,93505001,"Hodgkin's disease, mixed cellularity of lymph nodes of axilla AND/OR upper limb",SNOMED CT
"Malignancy, except skin neoplasms",442161,93506000,"Hodgkin's disease, mixed cellularity of lymph nodes of head, face AND/OR neck",SNOMED CT
"Malignancy, except skin neoplasms",442160,93507009,"Hodgkin's disease, mixed cellularity of lymph nodes of inguinal region AND/OR lower limb",SNOMED CT
"Malignancy, except skin neoplasms",315202,188582000,"Hodgkin's disease, mixed cellularity of lymph nodes of multiple sites",SNOMED CT
"Malignancy, except skin neoplasms",442159,93509007,"Hodgkin's disease, mixed cellularity of spleen",SNOMED CT
"Malignancy, except skin neoplasms",4038842,118608000,"Hodgkin's disease, nodular sclerosis (clinical)",SNOMED CT
"Malignancy, except skin neoplasms",434302,93519001,"Hodgkin's disease, nodular sclerosis of extranodal AND/OR solid organ site",SNOMED CT
"Malignancy, except skin neoplasms",193434,188567005,"Hodgkin's disease, nodular sclerosis of intra-abdominal lymph nodes",SNOMED CT
"Malignancy, except skin neoplasms",199760,188570009,"Hodgkin's disease, nodular sclerosis of intrapelvic lymph nodes",SNOMED CT
"Malignancy, except skin neoplasms",136928,188566001,"Hodgkin's disease, nodular sclerosis of intrathoracic lymph nodes",SNOMED CT
"Malignancy, except skin neoplasms",314600,93514006,"Hodgkin's disease, nodular sclerosis of lymph nodes of axilla AND/OR upper limb",SNOMED CT
"Malignancy, except skin neoplasms",442158,93515007,"Hodgkin's disease, nodular sclerosis of lymph nodes of head, face AND/OR neck",SNOMED CT
"Malignancy, except skin neoplasms",442157,93516008,"Hodgkin's disease, nodular sclerosis of lymph nodes of inguinal region AND/OR lower limb",SNOMED CT
"Malignancy, except skin neoplasms",315763,188572001,"Hodgkin's disease, nodular sclerosis of lymph nodes of multiple sites",SNOMED CT
"Malignancy, except skin neoplasms",193157,93518009,"Hodgkin's disease, nodular sclerosis of spleen",SNOMED CT
"Malignancy, except skin neoplasms",4041797,118602004,Hodgkin's granuloma (clinical),SNOMED CT
"Malignancy, except skin neoplasms",439291,188536008,Hodgkin's granuloma of intra-abdominal lymph nodes,SNOMED CT
"Malignancy, except skin neoplasms",442156,93530003,Hodgkin's granuloma of intrapelvic lymph nodes,SNOMED CT
"Malignancy, except skin neoplasms",440354,93531004,Hodgkin's granuloma of intrathoracic lymph nodes,SNOMED CT
"Malignancy, except skin neoplasms",442155,93532006,Hodgkin's granuloma of lymph nodes of axilla AND/OR upper limb,SNOMED CT
"Malignancy, except skin neoplasms",442154,93533001,"Hodgkin's granuloma of lymph nodes of head, face AND/OR neck",SNOMED CT
"Malignancy, except skin neoplasms",442153,93534007,Hodgkin's granuloma of lymph nodes of inguinal region AND/OR lower limb,SNOMED CT
"Malignancy, except skin neoplasms",320337,188541000,Hodgkin's granuloma of lymph nodes of multiple sites,SNOMED CT
"Malignancy, except skin neoplasms",196355,93536009,Hodgkin's granuloma of spleen,SNOMED CT
"Malignancy, except skin neoplasms",198986,188529007,Hodgkin's paragranuloma of intrapelvic lymph nodes,SNOMED CT
"Malignancy, except skin neoplasms",438709,188524002,Hodgkin's paragranuloma of intrathoracic lymph nodes,SNOMED CT
"Malignancy, except skin neoplasms",442152,93541001,Hodgkin's paragranuloma of lymph nodes of axilla AND/OR upper limb,SNOMED CT
"Malignancy, except skin neoplasms",435494,93542008,"Hodgkin's paragranuloma of lymph nodes of head, face AND/OR neck",SNOMED CT
"Malignancy, except skin neoplasms",442144,93543003,Hodgkin's paragranuloma of lymph nodes of inguinal region AND/OR lower limb,SNOMED CT
"Malignancy, except skin neoplasms",140663,188531003,Hodgkin's paragranuloma of lymph nodes of multiple sites,SNOMED CT
"Malignancy, except skin neoplasms",4038840,118606001,Hodgkin's sarcoma (clinical),SNOMED CT
"Malignancy, except skin neoplasms",198372,93547002,Hodgkin's sarcoma of intra-abdominal lymph nodes,SNOMED CT
"Malignancy, except skin neoplasms",195196,93548007,Hodgkin's sarcoma of intrapelvic lymph nodes,SNOMED CT
"Malignancy, except skin neoplasms",433156,93549004,Hodgkin's sarcoma of intrathoracic lymph nodes,SNOMED CT
"Malignancy, except skin neoplasms",320049,93550004,Hodgkin's sarcoma of lymph nodes of axilla AND/OR upper limb,SNOMED CT
"Malignancy, except skin neoplasms",442146,93551000,"Hodgkin's sarcoma of lymph nodes of head, face AND/OR neck",SNOMED CT
"Malignancy, except skin neoplasms",442145,93552007,Hodgkin's sarcoma of lymph nodes of inguinal region AND/OR lower limb,SNOMED CT
"Malignancy, except skin neoplasms",316649,188551004,Hodgkin's sarcoma of lymph nodes of multiple sites,SNOMED CT
"Malignancy, except skin neoplasms",198710,93554008,Hodgkin's sarcoma of spleen,SNOMED CT
"Malignancy, except skin neoplasms",441523,275524009,Immunoproliferative neoplasm,SNOMED CT
"Malignancy, except skin neoplasms",4142878,427374007,Immunoproliferative neoplasm in remission,SNOMED CT
"Malignancy, except skin neoplasms",4003836,109985000,Immunoproliferative small intestinal disease (clinical),SNOMED CT
"Malignancy, except skin neoplasms",4001664,109842005,Intrahepatic bile duct carcinoma,SNOMED CT
"Malignancy, except skin neoplasms",40482847,445227008,Juvenile myelomonocytic leukemia,SNOMED CT
"Malignancy, except skin neoplasms",434584,109385007,Kaposi's sarcoma (clinical),SNOMED CT
"Malignancy, except skin neoplasms",198085,109389001,Kaposi's sarcoma of gastrointestinal tract,SNOMED CT
"Malignancy, except skin neoplasms",254583,109390005,Kaposi's sarcoma of lung,SNOMED CT
"Malignancy, except skin neoplasms",312846,109391009,Kaposi's sarcoma of lymph nodes,SNOMED CT
"Malignancy, except skin neoplasms",4033893,109392002,Kaposi's sarcoma of multiple organs,SNOMED CT
"Malignancy, except skin neoplasms",140958,109388009,Kaposi's sarcoma of palate,SNOMED CT
"Malignancy, except skin neoplasms",258981,109386008,Kaposi's sarcoma of skin,SNOMED CT
"Malignancy, except skin neoplasms",375479,188029000,Kaposi's sarcoma of soft tissue,SNOMED CT
"Malignancy, except skin neoplasms",4038846,118614007,"Langerhans cell histiocytosis, disseminated (clinical)",SNOMED CT
"Malignancy, except skin neoplasms",4044708,129000002,"Langerhans cell histiocytosis, unifocal (clinical)",SNOMED CT
"Malignancy, except skin neoplasms",441235,277637000,Large cell anaplastic lymphoma,SNOMED CT
"Malignancy, except skin neoplasms",40481357,441962003,Large cell lymphoma of intrapelvic lymph nodes,SNOMED CT
"Malignancy, except skin neoplasms",439761,93141006,Letterer-Siwe disease of extranodal AND/OR solid organ site,SNOMED CT
"Malignancy, except skin neoplasms",444467,93133006,Letterer-Siwe disease of intra-abdominal lymph nodes,SNOMED CT
